"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"299",299,"Wounds","Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.",95,"Drama",4,NA,18154,"Babak Anvari","Armie Hammer",NA
"300",300,"Domino","A Copenhagen police officer seeks justice for his partner's murder by a mysterious man.",89,"Action",4.4,NA,5539,"Brian De Palma","Nikolaj Coster-Waldau",NA
"301",301,"Chuy<U+1EBF>n Du L<U+1ECB>ch Ch<U+1EBF>t Chóc","Down Under for an adventure-filled vacation, a young American couple quickly find themselves stranded in the unforgiving Australian outback.",86,"Drama",4.9,"64",1315,"Mike Green","Lauren Lofberg","0.22"
"302",302,"The Other Lamb","A girl born into an all-female cult led by a man in their compound begins to question his teachings and her own reality.",96,"Drama",5.3,"72",4222,"Malgorzata Szumowska","Raffey Cassidy","0.02"
"303",303,"Brittany Runs a Marathon","A young woman decides to make positive changes in her life by training for the New York City Marathon.",104,"Comedy",6.8,"33",18976,"Paul Downs Colaizzo","Jillian Bell","0.08"
"304",304,"Elisa và Marcela","In 1901, Elisa Sanchez Loriga took on the identity of Mario Sánchez to marry her lover of fifteen years, Marcela Gracia Ibeas.",118,"Biography",6.6,"38",4421,"Isabel Coixet","Natalia de Molina","1.78"
"305",305,"Ode to Joy","Charlie has a neurological disorder in which strong emotions, especially joy, make him faint. He lives with his brother. Working as librarian gives him a quiet environment, but then Francesca enters the library and his life.",97,"Comedy",6.4,"56",5389,"Jason Winer","Martin Freeman","40.71"
"306",306,"J'accuse","In 1894, French Captain Alfred Dreyfus is wrongfully convicted of treason and sentenced to life imprisonment at Devil's island.",132,"Drama",7.2,"53",16832,"Roman Polanski","Louis Garrel","13.63"
"307",307,"Only","After a comet releases a mysterious virus that begins to kill all the women in the world, a young couple hides out in their over-sterilized apartment trying to fight for their lives.",98,"Drama",5.1,"69",3297,"Takashi Doscher","Freida Pinto","20.15"
"308",308,"Seules les bêtes","A woman disappeared. After a snowstorm, her car is discovered on a road to a small remote village. While the police don't know where to start, five people are linked to the disappearance. Each one with his or her own secret.",117,"Crime",7,"51",4873,"Dominik Moll","Denis Ménochet",NA
"309",309,"Ngu<U+1EDD>i Chuy<U+1EC3>n Phát Nhanh","A courier in London discovers that one of the packages she's transporting is a bomb.",99,"Action",4.9,"57",11045,"Zackary Adler","Olga Kurylenko",NA
"310",310,"The Song of Names","Several years after his childhood friend, a violin prodigy, disappears on the eve of his first solo concert, an Englishman travels throughout Europe to find him.",113,"Drama",6.5,"75",3874,"François Girard","Eddie Izzard",NA
"311",311,"The Burnt Orange Heresy","Hired to steal a rare painting from one of the most enigmatic painters of all time, an ambitious art dealer becomes consumed by his own greed and insecurity as the operation spins out of control.",99,"Action",6.1,"60",4517,"Giuseppe Capotondi","Claes Bang",NA
"312",312,"La Belle Époque","A couple in crisis. He, disillusioned, sees his life upset the day an entrepreneur offers him to plunge back into the time of his choice.",115,"Comedy",7.4,"56",14337,"Nicolas Bedos","Daniel Auteuil",NA
"313",313,"Giáng Sinh C<U+1EE7>a Rush","After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.",92,"Comedy",4.9,"49",2668,"Leslie Small","Romany Malco",NA
"314",314,"Xây Ð<U+1EAF>p Tình Yêu","When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.",98,"Comedy",5.6,"84",18549,"Roger Kumble","Christina Milian",NA
"315",315,"The Coldest Game","During 1962's Cuban missile crisis, a troubled math genius finds himself drafted to play in a U.S.-Soviet chess match -- and a deadly game of espionage.",102,"History",6.2,"66",9951,"Lukasz Kosmicki","Bill Pullman",NA
"316",316,"Triple Threat","When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.",96,"Action",5.6,"82",10914,"Jesse V. Johnson","Tony Jaa",NA
"317",317,"The Last Vermeer","An artist is suspected of selling a valuable painting to the Nazis, but there is more to the story than meets the eye.",118,"Drama",6.7,"32",3015,"Dan Friedkin","Guy Pearce",NA
"318",318,"K<U+1EBB> An Gi<U+1EA5>c Ng<U+1EE7>","When nothing can be done for a Fatal Familial Insomnia patient at the hospital, a med student has her brother moved to a secret facility in the basement for alternative treatment. Is it demonic possession?",88,"Horror",5.2,"69",8467,"Daniel J. Phillips","Erik Thomson",NA
"319",319,"Georgetown","Ulrich Mott, an ambitious social climber, marries a wealthy widow in Washington D.C. in order to mix with powerful political players.",99,"Biography",6,"72",1955,"Christoph Waltz","Christoph Waltz",NA
"320",320,"Dylda","1945, Leningrad. WWII has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Two young women search for meaning and hope in the struggle to rebuild their lives amongst the ruins.",130,"Drama",7.1,"58",10421,"Kantemir Balagov","Viktoria Miroshnichenko",NA
"321",321,"The Sound of Silence","A successful ""house tuner"" in New York City, who calibrates the sound in people's homes in order to adjust their moods, meets a client with a problem he can't solve.",88,"Drama",5.7,"60",1297,"Michael Tyburski","Peter Sarsgaard",NA
"322",322,"Sorry We Missed You","Hoping that self-employment through gig economy can solve their financial woes, a hard-up UK delivery driver and his wife struggling to raise a family end up trapped in the vicious circle of this modern-day form of labour exploitation.",101,"Drama",7.6,"46",20559,"Ken Loach","Kris Hitchen",NA
"323",323,"Quái V<U+1EAD>t Nguyên Sinh","Frank's caught wildlife in the Brazilian jungle incl. a 400 lbs. white jaguar. He ships it on the same ship as an arrested assassin. The assassin breaks free and frees the animals.",97,"Action",4.9,"36",7642,"Nick Powell","Nicolas Cage",NA
"324",324,"Moffie","A young man in 1981 South Africa must complete his brutal and racist two years of compulsory military service while desperately maintaining the secrecy of his homosexuality.",104,"Drama",6.9,"61",2687,"Oliver Hermanus","Kai Luke Brummer",NA
"325",325,"Ð<U+1EE9>a Con Trai Hoàn H<U+1EA3>o","A married couple is forced to reckon with their idealized image of their son, adopted from war-torn Eritrea, after an alarming discovery by a devoted high school teacher threatens his status as an all-star student.",109,"Drama",6.6,"72",12383,"Julius Onah","Naomi Watts",NA
"326",326,"Troop Zero","In rural 1977 Georgia, a misfit girl dreams of life in outer space. When a competition offers her a chance to be recorded on NASA's Golden Record, she recruits a makeshift troop of Birdie Scouts, forging friendships that last a lifetime.",94,"Comedy",6.9,"39",10409,"Bert","Mckenna Grace",NA
"327",327,"The Kill Team","A young American soldier in Afghanistan is disturbed by his commanding officer's behavior and is faced with a moral dilemma.",87,"Action",6,"90",4612,"Dan Krauss","Nat Wolff",NA
"328",328,"Cu<U+1ED9>c H<U+1EB9>n Hoàn H<U+1EA3>o","To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion.",89,"Comedy",5.8,"38",37044,"Chris Nelson","Noah Centineo",NA
"329",329,"Verotika","Follows the surreal and bloody trilogy of erotic horror stories culled from Danzig's comic.",90,"Horror",1.9,"61",1595,"Glenn Danzig","Ashley Wisdom",NA
"330",330,"Secret Escort","Gavin is a successful business man, who struggles with his deepest sexual desires and can't stop seeing Clarissa, a specialized call girl, who delves into the lustful depths of his mind, ...                See full summary »",45,"Drama",6.3,"70",9340,"Bob Bragg","Kyle Colton",NA
"331",331,"Phép Màu","When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.",116,"Biography",6.1,"87",5849,"Roxann Dawson","Marcel Ruiz",NA
"332",332,"Ð<U+1ED9>i c<U+1ED5> vu huu trí","POMS is a comedy about a group of women who form a cheer leading squad at their retirement community, proving that you're never too old to 'bring it!'",90,"Comedy",5.8,"78",14108,"Zara Hayes","Diane Keaton",NA
"333",333,"M<U+1EB9> Qu<U+1EF7>","A defiant teenage boy, struggling with his parents' imminent divorce, faces off with a thousand year-old witch, who is living beneath the skin of and posing as the woman next door.",95,"Horror",6.5,"72",9555,"Brett Pierce","John-Paul Howard",NA
"334",334,"Extra Ordinary","Rose, a mostly sweet and lonely Irish driving instructor, must use her supernatural talents to save the daughter of Martin (also mostly sweet and lonely) from a washed-up rock star who is using her in a Satanic pact to reignite his fame.",94,"Comedy",2.2,NA,1030,"Mike Ahern","Maeve Higgins",NA
"335",335,"Among the Shadows","A private investigator must unravel the murder of her uncle while keeping the secret that she is a descendant from a line of werewolves.",96,"Horror",6.7,NA,3997,"Tiago Mesquita","Lindsay Lohan",NA
"336",336,"Cordelia","Following an incident in her past, Cordelia now lives with her twin sister, Caroline in their late father's basement flat.",91,"Drama",5.1,NA,6611,"Adrian Shergold","Michael Gambon",NA
"337",337,"H<U+1ED9>i Thú Bông Ng<U+1ED9> Nghinh","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",87,"Animation",7.8,NA,12266,"Kelly Asbury","Kelly Clarkson",NA
"338",338,"Systemsprenger","On her wild quest for love, 9-year-old Benni's untamed energy drives everyone around her to despair.",125,"Drama",6.1,NA,10784,"Nora Fingscheidt","Helena Zengel",NA
"339",339,"Hành Trình C<U+1EE7>a M<U+1EB9>","A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.",100,"Comedy",6.3,NA,5342,"Cindy Chupack","Angela Bassett",NA
"340",340,"Buffaloed","In the underworld of debt-collecting, homegrown hustler Peg Dahl will do anything to escape Buffalo, NY.",95,"Comedy",2.5,NA,5879,"Tanya Wexler","Zoey Deutch",NA
"341",341,"Airplane Mode","Horny American teenagers fly to Australia for sex at the social media convention in Sydney. Will Logan survive his fear of flying? Will the pilots survive passengers not using airplane mode? Will anyone survive?",80,"Comedy",6.8,NA,5440,"David Dinetz","Logan Paul",NA
"342",342,"Celle que vous croyez","Claire, a 50-year-old divorced teacher, creates a fake Facebook profile of a 24-year-old woman. She finds a photo of a pretty young blonde and uses it. She has created an entirely fictional character, but why?",101,"Drama",6.9,NA,5788,"Safy Nebbou","Juliette Binoche",NA
"343",343,"Om det oändliga","With ABOUT ENDLESSNESS, Roy Andersson adds to his cinematic oeuvre with a reflection on human life in all its beauty and cruelty, its splendour and banality.",78,"Drama",7.6,NA,23242,"Roy Andersson","Jessica Louthander",NA
"344",344,"Les misérables","A cop from the provinces moves to Paris to join the Anti-Crime Brigade of Montfermeil, discovering an underworld where the tensions between the different groups mark the rhythm.",104,"Crime",4.9,NA,8629,"Ladj Ly","Damien Bonnard",NA
"345",345,"Oh, Ramona!","A teenager named Andrei transitions from a teenager into an adult.",109,"Comedy",4.1,NA,2869,"Cristina Jacob","Basil Eidenbenz",NA
"346",346,"Beyond the Law","A former mobster turned businessman and a police detective must contend with a dirty ex-cop looking to bring the killer of his son to justice.",89,"Action",4.1,NA,285,"James Cullen Bressack","Johnny Messner",NA
"347",347,"Entangled","Four brilliant university students are forced to confront themselves in terrifying ways when their Quantum Physics experiment leads to an entangled parallel existence that leaves them questioning who they are and what is real.",90,"Drama",6.4,NA,9817,"Gaurav Seth","Munro Chambers",NA
"348",348,"Blow the Man Down","Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",91,"Comedy",2.4,NA,2603,"Bridget Savage Cole","David Coffin",NA
"349",349,"I Spit on Your Grave: Deja Vu","Cinema's top lethal lady vengeance returns in the most anticipated sequel of all time.",148,"Horror",7.4,NA,8294,"Meir Zarchi","Camille Keaton",NA
"350",350,"Hors normes","The story of two men, educators of children and adolescents with autism.",114,"Comedy",NA,NA,NA,"Olivier Nakache","Vincent Cassel",NA
"351",351,"Cu<U+1ED9>c Gi<U+1EA3>i C<U+1EE9>u Hang Tham Luang","A Thai youth football team is trapped in a cave while rescue workers scramble to save them.",104,"Action",5.8,"71",912,"Tom Waller","Jim Warny","5.57"
"352",352,"Ema","A couple deals with the aftermath of an adoption that goes awry as their household falls apart.",107,"Drama",6.8,"65",7812,"Pablo Larraín","Mariana Di Girólamo","2.27"
"353",353,"Gully Boy","A coming-of-age story based on the lives of street rappers in Mumbai.",154,"Drama",7.9,"72",36706,"Zoya Akhtar","Ranveer Singh","0.28"
"354",354,"The Painted Bird","A young Jewish boy somewhere in Eastern Europe seeks refuge during World War II where he encounters many different characters.",169,"Drama",7.4,"55",5543,"Václav Marhoul","Petr Kotlár","1.86"
"355",355,"Nancy Drew và Chi<U+1EBF>c C<U+1EA7>u Tháng <U+1EA8>n","A bit of an outsider struggling to fit into her new surroundings, Nancy and her pals set out to solve a mystery, make new friends, and establish their place in the community.",89,"Comedy",5.8,"52",4575,"Katt Shea","Sophia Lillis","0.01"
"356",356,"3022","A group of astronauts living in the haunting emptiness of deep space awake to find earth has suffered an extinction level event.",91,"Sci-Fi",4.5,"51",5410,"John Suits","Omar Epps","45.22"
"357",357,"The Collini Case","A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.",123,"Crime",7.3,"64",8738,"Marco Kreuzpaintner","Elyas M'Barek",NA
"358",358,"Mestari Cheng","Following the death of his wife, professional chef Cheng travels with his young son to a remote village in Finland to connect with an old Finnish friend he once met in Shanghai.",114,"Comedy",6.8,"42",1038,"Mika Kaurismäki","Pak Hon Chu",NA
"359",359,"Brotherhood","In 1926, a group of teenage boys arrive at Long Point Camp for the adventure of their lives. When their canoe capsizes in a freak summer storm, their holiday descends into a soul-shuddering fight for survival.",96,"Drama",4.9,"50",230,"Richard Bell","Brendan Fletcher",NA
"360",360,"Greed","Satire about the world of the super-rich.",104,"Comedy",5.7,"50",6100,"Michael Winterbottom","Caroline Flack",NA
"361",361,"Cánh Chim Noi Ð<U+1ECB>a Ch<U+1EA5>n","An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.",107,"Crime",5.9,"18",13969,"Wash Westmoreland","Alicia Vikander",NA
"362",362,"Bi<U+1EC7>t Ð<U+1ED9>i T<U+1EED> Th<U+1EA7>n: Di<U+1EC7>t Vong","A group of UAC Marines respond to a distress call from a top secret scientific base on Phobos, a moon around Mars, only to discover it's been overrun by demons who seek to create Hell on Earth.",96,"Action",3.7,"60",8978,"Tony Giglio","Amy Manson",NA
"363",363,"Super 30","Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.",154,"Biography",8,"83",28136,"Vikas Bahl","Hrithik Roshan",NA
"364",364,"Life Like","An idealistic, attractive young couple acquires a stunning, life-like robot for guilt-free help; but, as the three grow closer, their perception of humanity will be altered forever.",95,"Drama",5.4,"68",2777,"Josh Janowicz","Steven Strait",NA
"365",365,"Come to Daddy","A man in his thirties travels to a remote cabin to reconnect with his estranged father.",96,"Comedy",6,"54",17001,"Ant Timpson","Elijah Wood",NA
"366",366,"Les traducteurs","Nine translators, hired to translate the eagerly awaited final book of a bestselling trilogy, are confined in a luxurious bunker. When the first ten pages of the top-secret manuscript appear online, the dream job becomes a nightmare.",105,"Mystery",6.5,"60",6822,"Régis Roinsard","Lambert Wilson",NA
"367",367,"Sacrifice","An entertainment lawyer navigates the nefarious lives of her rich and famous clients.",76,"Thriller",4.5,"59",287,"Chris Stokes","Paula Patton",NA
"368",368,"Penoza: The Final Chapter","Drawn out of hiding in Canada, a Dutch former drug baroness returns to Amsterdam to face unfinished business and once and for all save her family from her life of crime.",116,"Crime",6.3,"67",1595,"Diederik Van Rooijen","Monic Hendrickx",NA
"369",369,"Killerman","Two NYC money launderers make a quick drug deal. Things go wrong, as dirty cops are involved. One of the friends gets amnesia during their escape with the drugs and money.",112,"Thriller",5.4,"59",6037,"Malik Bader","Liam Hemsworth",NA
"370",370,"Into the Ashes","Nick escapes his criminal past and 2 partners, gets a steady job, a friend at work and marries the sheriff's daughter. But his past catches up with him, when his ex partners track him down and want their share of the loot.",98,"Action",5.2,"45",4784,"Aaron Harvey","Luke Grimes",NA
"371",371,"Funhouse","When 8 celebrities from around the globe are invited to compete in an online reality show, they soon realize that they are playing for their very lives, as those voted off suffer horrific consequences, broadcast live to the entire world.",106,"Crime",5.5,"75",6701,"Jason William Lee","Valter Skarsgård",NA
"372",372,"A Very British Christmas","Opera singer Jessica's flight to her concert in Vienna gets delayed and she is stranded in Yorkshire. The only place to stay is a bed-and-breakfast in an enchanting village run by a handsome widower named Andrew.",90,"Family",5.8,NA,538,"Steven Nesbit","Rachel Shenton",NA
"373",373,"Hài Ð<U+1ECF> & B<U+1EA3>y Chú Lùn","Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy. A parody with a twist.",92,"Animation",6.5,NA,3883,"Sung-ho Hong","Chloë Grace Moretz",NA
"374",374,"Line of Duty","A disgraced cop finds himself in a race against time to find a kidnap victim whose abductor he accidentally killed.",98,"Action",5.3,NA,6873,"Steven C. Miller","Aaron Eckhart",NA
"375",375,"Lucky Day","Red, a safe cracker who has just been released from prison, is trying to hold his family together as his past catches up with him in the form of Luc, a psychopathic contract killer who's seeking revenge for the death of his brother.",99,"Action",5.1,NA,2761,"Roger Avary","Luke Bracey",NA
"376",376,"Matthias et Maxime","Hidden feelings come to light and threaten the bond of a group of friends in their late 20s.",119,"Drama",6.8,NA,6940,"Xavier Dolan","Gabriel D'Almeida Freitas",NA
"377",377,"12 Pups of Christmas","A woman tasked with finding homes for 12 abandoned puppies before Christmas finds love with her co-worker just in time for the holidays.",85,"Animation",4.3,NA,585,"Michael Feifer","Charlotte Sullivan",NA
"378",378,"Lo spietato","A rebellious teenager grows up to become one of Milan's most ambitious criminals during the golden years of the 'ndrangheta' Mafia in the 1980s.",111,"Crime",6.2,NA,5888,"Renato De Maria","Riccardo Scamarcio",NA
"379",379,"Shaonian de ni","A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, all while she copes with the pressures of her final examinations.",135,"Crime",7.6,NA,8197,"Derek Tsang","Dongyu Zhou",NA
"380",380,"Ð<U+1EA1>i Th<U+1EA3>m H<U+1ECD>a Núi Baekdu","Stagnant since 1903, at an elevation of 2,744 m, a volcano erupts on the mythical and majestic Baekdu Mountain.",130,"Action",6.2,NA,4292,"Byung-seo Kim","Lee Byung-hun",NA
"381",381,"Le daim","A man's obsession with his designer deerskin jacket causes him to blow his life savings and turn to crime.",77,"Comedy",6.7,NA,8365,"Quentin Dupieux","Jean Dujardin",NA
"382",382,"Badla","A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.",118,"Crime",7.8,NA,26288,"Sujoy Ghosh","Amitabh Bachchan",NA
"383",383,"Tales from the Lodge","Friends gather at a lodge to commemorate a friend, who drowned in a lake nearby 3 years ago. They tell each other scary stories and suddenly find themselves in one.",93,"Comedy",5.5,NA,889,"Abigail Blackmore","Mackenzie Crook",NA
"384",384,"I Am Woman","The story of 1970s musician and activist Helen Reddy.",116,"Biography",6.5,NA,2108,"Unjoo Moon","Evan Peters",NA
"385",385,"Trauma Center","Alone and trapped in a locked-down hospital, an injured young woman must escape a pair of vicious killers who are after the only piece of evidence that can implicate them in a grisly murder, the bullet in her leg.",87,"Action",4.2,NA,13018,"Matt Eskandari","Nicky Whelan",NA
"386",386,"Mùa H<U+1EA1> Cu<U+1ED1>i","Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",109,"Comedy",5.6,NA,12675,"William Bindley","K.J. Apa",NA
"387",387,"L'acrobate","Montreal is snowed under. While the downtown cranes dance their hypnotic ballet, two strangers meet randomly in an unfinished apartment. Their chance encounter leads to a violent attraction and a dependency beyond reason.",134,"Drama",6.1,NA,607,"Rodrigue Jean","Sébastien Ricard",NA
"388",388,"Trùng Qu<U+1EF7> Ð<U+1EA1>i Duong","The crew of a West of Ireland trawler, marooned at sea, struggle for their lives against a growing parasite in their water supply.",95,"Drama",5.8,NA,10163,"Neasa Hardiman","Hermione Corfield",NA
"389",389,"Kumbalangi Nights","The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.",135,"Comedy",8.6,NA,13175,"Madhu C. Narayanan","Shane Nigam",NA
"390",390,"Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai","A high school student's blissful days with his girlfriend are interrupted when his first crush returns in two forms.",89,"Animation",8.3,NA,3722,"Sôichi Masui","Kaito Ishikawa",NA
"391",391,"Sibyl","A jaded psychotherapist returns to her first passion of becoming a writer.",100,"Drama",5.8,NA,2834,"Justine Triet","Virginie Efira",NA
"392",392,"Light of My Life","Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.",119,"Drama",6.6,NA,12838,"Casey Affleck","Anna Pniowsky",NA
"393",393,"Crypto","Demoted back to his hometown, a young Wall Street banker is drawn into investigating a tangled web of corruption and fraud in Upstate New York, affecting both his personal life and business career.",105,"Crime",5.3,NA,5269,"John Stalberg Jr.","Beau Knapp",NA
"394",394,"Sleeping with My Student","New school headmaster and single mother Kathy discovers her vacation fling with charming 18-year-old Ian was no accident when he transfers to her school targeting Kathy and her teenage ...                See full summary »",87,"Thriller",4.8,NA,576,"Tom Shell","Gina Holden",NA
"395",395,"Siberia","An exploration into the language of dreams.",92,"Drama",4.8,NA,1862,"Abel Ferrara","Willem Dafoe",NA
"396",396,"Công Viên K<U+1EF3> Di<U+1EC7>u","Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.",85,"Animation",5.9,NA,11546,"Dylan Brown","Sofia Mali",NA
"397",397,"El Príncipe","A '70s-set homoerotic prison drama based on a low-circulated pulp novel, tracking the sexual, often-violent and eventually murderous experiences of 20-something narcissist Jaime.",96,"Drama",6.4,NA,1254,"Sebastián Muñoz","Juan Carlos Maldonado",NA
"398",398,"La vérité","A stormy reunion between scriptwriter Lumir with her famous mother and actress, Fabienne, against the backdrop of Fabienne's autobiographic book and her latest role in a Sci-Fi picture as a daughter of a mother who never grows old.",106,"Drama",6.5,NA,6324,"Hirokazu Koreeda","Catherine Deneuve",NA
"399",399,"Le chant du loup","In the near future, a French submarine finds itself in a crisis situation.",115,"Action",6.9,NA,16180,"Antonin Baudry","François Civil",NA
"400",400,"Locusts","Two estranged brothers who are reluctantly reunited in their remote hometown at their father's funeral, become the target of an extortion scam at the hands of a gang of violent local thugs.",85,"Crime",4.9,NA,308,"Heath Davis","Jessica McNamee",NA
"401",401,"Strange But True","A woman surprises the family of her deceased boyfriend by telling them she's pregnant with his child.",96,"Thriller",5.9,"55",4410,"Rowan Athale","Nick Robinson","14.86"
"402",402,"Crown Vic","Follows one memorable night in the life of LAPD officer Ray Mandel while hunting two cop killers on the loose.",110,"Crime",6.5,"47",6657,"Joel Souza","Thomas Jane","0.21"
"403",403,"Koirat eivät käytä housuja","Juha has lost his wife in a drowning accident. Years after he still feels numb and unable to connect with people. Meeting Mona, a dominatrix, changes everything.",105,"Drama",6.9,"71",5186,"J.-P. Valkeapää","Pekka Strang","1.56"
"404",404,"Proxima","An astronaut prepares for a one-year mission aboard the International Space Station.",107,"Action",6.4,"65",6862,"Alice Winocour","Eva Green","1.45"
"405",405,"Girl on the Third Floor","Don Koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans.",93,"Drama",4.6,"45",9427,"Travis Stevens","C.M. Punk","0.02"
"406",406,"The Prodigy","A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.",92,"Fantasy",5.9,"77",25594,"Nicholas McCarthy","Taylor Schilling","0.00"
"407",407,"Boze Cialo","Daniel experiences a spiritual transformation in a detention center. Although his criminal record prevents him from applying to the seminary, he has no intention of giving up his dream and decides to minister a small-town parish.",115,"Drama",7.7,"79",17266,"Jan Komasa","Bartosz Bielenia","5.04"
"408",408,"C<U+1EEB>u Quê Ra Ph<U+1ED1>: Ngu<U+1EDD>i B<U+1EA1>n Ngoài Hành Tinh","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",86,"Animation",6.8,"67",13004,"Will Becher","Justin Fletcher",NA
"409",409,"Calm with Horses","Douglas 'Arm' Armstrong has become the feared enforcer for the drug-dealing Devers family, whilst also trying to be a good father. Torn between these two families, Arm's loyalties are tested when he is asked to kill for the first time.",100,"Crime",6.9,"54",4923,"Nick Rowland","Cosmo Jarvis",NA
"410",410,"Guava Island","A young musician seeks to hold a festival to liberate the oppressed people of Guava Island, even if only for a day.",55,"Comedy",6.7,"43",10403,"Hiro Murai","Donald Glover",NA
"411",411,"Ratu Ilmu Hitam","Families were terrorized at the orphanage. Someone wants them dead, apparently with black magic that is very deadly. She has a grudge and she was also born because of the sins of the orphans who formed her into the Queen of Black Magic.",99,"Horror",6.5,"70",1935,"Kimo Stamboel","Ario Bayu",NA
"412",412,"Article 15","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",130,"Crime",8.2,"54",28926,"Anubhav Sinha","Ayushmann Khurrana",NA
"413",413,"Rabid","The quiet Rose works in women's fashion clothing, hoping to be a designer. A traffic accident damages her face. She gets experimental stem cell treatment, leaving her stronger and prettier than ever - but there's a side effect.",107,"Horror",5.2,"51",4847,"Jen Soska","Laura Vandervoort",NA
"414",414,"Once Upon a Time in London","In the 1930s, organized crime came to England. The Italian Sabinis and English White family in West End dominated the London underworld. Come WWII and Jack ""Spot"" took over and later Billy Hill.",111,"Crime",5.6,"81",8442,"Simon Rumley","Terry Stone",NA
"415",415,"Ði<U+1EC7>p V<U+1EE5> Kép: Truy Nã T<U+1EDB>i Cùng","An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour siege at the U.S. Federal Reserve.",105,"Action",5.7,"37",3745,"M.J. Bassett","Aml Ameen",NA
"416",416,"Benchwarmers 2: Breaking Balls","After a freak accident ruins a guy's chances at playing professional baseball, he joins a competitive softball league for lawyers.",91,"Comedy",4.1,"31",899,"Jonathan A. Rosenbaum","Chris Klein",NA
"417",417,"Tình Yêu Dung D<U+1ECB>","An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.",92,"Drama",6.6,"50",3900,"Lisa Barros D'Sa","Lesley Manville",NA
"418",418,"Super Deluxe","An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.",176,"Comedy",8.4,"69",13374,"Thiagarajan Kumararaja","Vijay Sethupathi",NA
"419",419,"Kabir Singh","An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",173,"Action",7.1,"63",30303,"Sandeep Reddy Vanga","Shahid Kapoor",NA
"420",420,"Rare Beasts","An anti rom-com about Mandy, a career-driven single mother, who falls in love with the charming, traditionalist Pete.",87,"Comedy",5.5,"18",999,"Billie Piper","Billie Piper",NA
"421",421,"V<U+1ED1>n Li<U+1EBF>ng Con Ngu<U+1EDD>i","The lives of two different families collide when their children begin a relationship that leads to a tragic accident.",98,"Drama",5.8,"32",9343,"Marc Meyers","Liev Schreiber",NA
"422",422,"Co Th<U+1EC3> Tôi Ðâu R<U+1ED3>i?","A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.",81,"Animation",7.6,"50",30674,"Jérémy Clapin","Hakim Faris",NA
"423",423,"Faith, Hope & Love","Recent divorcee Faith enters a dance contest to save her dance studio, where she meets Jimmy Hope and rediscovers her faith and dreams.",106,"Comedy",6.2,"59",871,"J.J. Englert","Peta Murgatroyd",NA
