"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"1957",1957,"Goalie","Biopic of the life of legendary NHL goaltender Terry Sawchuk.",111,"Biography",6,NA,251,"Adriana Maggs","Mark O'Brien",NA
"1958",1958,"Intemperie","In a tyrannical and oppressive Spain of misery and poorness, a child starts a runaway looking for freedom.",103,"Adventure",6.8,NA,1250,"Benito Zambrano","Luis Tosar",NA
"1959",1959,"Los Rodríguez y el más allá","The father turns on as a light bulb, the older daughter has super-strength, the younger daughter is capable to be invisible, the grandmother floats and the son is super-intelligent. Definitely this family is from another world.",116,"Adventure",4.7,NA,464,"Paco Arango","Edu Soto",NA
"1960",1960,"Stalked","A young woman wakes up in a deserted factory where she is hunted by an invisible force.",82,"Action",2.5,NA,263,"Justin Edgar","Nathalie Buscombe",NA
"1961",1961,"Da yue zai dong ji","A song brings together a daughter and her estranged mother, telling their individual stories spanning two generations across three cities.",125,"Drama",5.9,NA,98,"Wei-Ming Wang","Sichun Ma",NA
"1962",1962,"Aakashaganga II","Arathi, accepts a challenge to test the authenticity of an 'Ashram' that claims to help its followers talk to the dead. To her surprise, she communicates with her dead mother who leads her to the dark and hidden secrets of her own family.",142,"Horror",2.1,NA,220,"Vinayan","Saranya Anand",NA
"1963",1963,"Die Goldfische","A good natured comedy about tax evasion and disability.",111,"Comedy",6.6,NA,1699,"Alireza Golafshan","Tom Schilling",NA
"1964",1964,"Anandi Gopal","Biopic of one of the earliest Indian female physicians Anandibai Gopalrao Joshi.",134,"Biography",8.8,NA,556,"Sameer Vidwans","Bhagyashree Milind",NA
"1965",1965,"Forbidden Dream","One of the most important figures of Korean royal history King Sejong develop a 20-year relationship with engineer and inventor Jang Yeong-sil, a truly remarkable scientist based on their common interest in astronomy.",132,"History",6.6,NA,295,"Jin-ho Hur","Choi Min-sik",NA
"1966",1966,"#Jowable","Elsa is a troubled young woman who is yearning for a mature and intimate relationship.",104,"Comedy",5.7,NA,238,"Darryl Yap","Kim Molina",NA
"1967",1967,"A Living Dog","A wounded deserter escapes the war against machines and allying himself to a female resistance fighter who's determined to strike back at the superior enemy before all is lost.",94,"Action",5.6,NA,117,"Daniel Raboldt","Stefan Ebel",NA
